current_date,Prec_Ishikari,avtem,Flow
2002\05\30,0.07033,17,309.58
2002\05\31,4.24865,14.4,383.836666667
2002\06\01,0.45181,14.6,394.493333333
2002\06\02,25.87166,10.4,422.3125
2002\06\03,8.99773,11.1,385.789583333
2002\06\04,0.39114,13.8,355.39
2002\06\05,0.00551,14.6,307.20875
2002\06\06,0.00027,16.4,244.588333333
2002\06\07,0.01415,18.1,256.573333333
2002\06\08,0.00454,19.6,278.737083333
2002\06\09,4.16092,13.5,412.531666667
2002\06\10,3.64733,9.9,421.715
2002\06\11,0.20006,12.4,383.8925
2002\06\12,0.04614,10.7,307.172083333
2002\06\13,0.03795,10.8,283.525
2002\06\14,0.0007,13.1,260.484166667
2002\06\15,0.57723,11.8,225.40625
2002\06\16,0.60904,14.4,244.188333333
2002\06\17,1.62591,14.7,258.172916667
2002\06\18,0.64448,16.4,271.219583333
2002\06\19,0.26555,16.9,315.925
2002\06\20,0.54848,14.2,227.755
2002\06\21,13.42818,11.9,267.83
2002\06\22,2.32696,11.7,277.403333333
2002\06\23,3.04482,9.9,261.729583333
2002\06\24,0.77578,9.1,275.639166667
2002\06\25,0.03922,10.1,254.924166667
2002\06\26,0,12.8,269.04125
2002\06\27,0.17731,15,250.338333333
2002\06\28,0.65906,15.6,250.187083333
2002\06\29,0.01787,18.2,234.902916667
2002\06\30,0.00339,17.3,232.977916667
2002\07\01,0.00351,17.3,214.028333333
2002\07\02,0.05548,17,229.5925
2002\07\03,0.01819,16.3,246.092083333
2002\07\04,0.03391,18.1,280.670833333
2002\07\05,0.64883,15.8,236.839583333
2002\07\06,1.29721,17.5,303.610416667
2002\07\07,19.09835,18.1,425.9125
2002\07\08,12.2827,17.5,437.24
2002\07\09,0.07741,15.9,392.66
2002\07\10,10.37256,14.1,305.62
2002\07\11,44.3995,13.6,578.915416667
2002\07\12,6.83507,14.8,944.85875
2002\07\13,1.82784,19.7,622.216666667
2002\07\14,10.87032,19.4,560.059166667
2002\07\15,8.54979,19.5,591.144583333
2002\07\16,5.52212,19.7,585.42125
2002\07\17,7.96737,18.9,637.990416667
2002\07\18,3.69296,20.7,478.229166667
2002\07\19,0.19994,20.5,386.034583333
2002\07\20,2.49244,20,378.81875
2002\07\21,0.42072,20.8,397.924166667
2002\07\22,2.96809,20.8,446.38375
2002\07\23,0.74765,18.8,375.111666667
2002\07\24,9.77854,17.5,337.3775
2002\07\25,0.53312,18.7,375.55125
2002\07\26,2.93892,21.2,380.915416667
2002\07\27,0.60442,16.6,408.699166667
2002\07\28,0,17.3,319.705833333
2002\07\29,0.67866,18.8,293.567916667
2002\07\30,0.2296,22.4,344.2475
2002\07\31,3.05641,19.5,326.580416667
2002\08\01,6.06868,21.3,383.03375
2002\08\02,0.04191,20.2,383.330833333
2002\08\03,4.4524,15.4,285.096666667
2002\08\04,0.76555,18.7,329.5425
2002\08\05,14.62829,20.2,369.899583333
2002\08\06,5.90845,19.7,536.186666667
2002\08\07,23.84115,19.1,468.489583333
2002\08\08,25.93075,20,990.569583333
2002\08\09,13.629,17.5,1246.17916667
2002\08\10,5.41926,17.4,1078.07958333
2002\08\11,0.57261,16.9,751.055833333
2002\08\12,3.02772,14.6,423.330416667
2002\08\13,6.42497,16.1,400.955416667
2002\08\14,1.10098,17.9,445.41875
2002\08\15,0.09009,17.5,424.088333333
2002\08\16,0.02564,19.2,404.489166667
2002\08\17,0.04076,17.8,344.735416667
2002\08\18,0.32521,16.2,321.07875
2002\08\19,3.30981,17.1,347.899583333
2002\08\20,21.3411,16,470.219583333
2002\08\21,2.31487,12.9,581.415833333
2002\08\22,0.33853,13.1,521.200833333
2002\08\23,0.40877,15.2,379.242083333
2002\08\24,13.51924,17.4,415.742916667
2002\08\25,2.89148,16.5,559.530833333
2002\08\26,0.10432,17.1,394.484583333
2002\08\27,0.13643,18.9,299.053333333
2002\08\28,9.84136,21.8,334.235
2002\08\29,3.40069,20.1,423.255416667
2002\08\30,0.0876,18.3,392.525833333
2002\08\31,0.0421,18.9,333.420416667
2002\09\01,0.54939,21.5,475.26125
2002\09\02,0.3252,23.3,441.565416667
2002\09\03,0.12477,19.9,416.829583333
2002\09\04,0,15,304.823333333
2002\09\05,0,15,267.130416667
2002\09\06,4.24899,14.5,279.125
2002\09\07,0.40468,17.4,247.5175
2002\09\08,0.57505,19.4,280.670416667
2002\09\09,0.09259,17.8,374.801666667
2002\09\10,0.0413,15.9,342.74125
2002\09\11,0.41845,17.5,361.367083333
2002\09\12,2.00027,12.9,414.640416667
2002\09\13,0.21866,12.5,345.274166667
2002\09\14,0.40578,13.2,316.214583333
2002\09\15,0.08383,12.8,304.209583333
2002\09\16,0.07493,12.7,288.9425
2002\09\17,5.70816,12.9,301.903333333
2002\09\18,1.60175,13.3,333.295416667
2002\09\19,0.29436,14.5,309.712916667
2002\09\20,1.15507,14.7,338.435833333
2002\09\21,4E-05,11.6,321.17125
2002\09\22,0.12621,10.4,298.634166667
2002\09\23,0.7306,10.5,304.409583333
2002\09\24,3.31702,9.4,311.9575
2002\09\25,0.07149,9.7,260.59875
2002\09\26,0,11.2,188.53625
2002\09\27,0,12.7,172.12875
